HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	LSSGagMya 	LSSGagMza 	LSSGagMys 	LSSGagMzs 	
(s)	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	
15.450000	541.520233	-1134.686052	-1203.282475	364.509604	
15.500000	443.984299	-1162.086352	-1182.407520	386.625688	
15.550000	353.696232	-1190.025314	-1173.053364	406.457003	
15.600000	269.000313	-1222.994903	-1177.436544	426.287276	
15.650000	187.130892	-1264.243904	-1196.866939	448.151921	
15.700000	104.637344	-1315.221251	-1231.455544	473.574305	
15.750000	17.917159	-1375.658180	-1280.308884	503.552687	
15.800000	-76.262611	-1443.397145	-1341.396911	538.392401	
15.850000	-180.521465	-1514.411391	-1411.409859	577.885629	
15.900000	-296.618789	-1583.549013	-1486.324278	621.651977	
15.950000	-424.971465	-1645.011726	-1561.771440	668.978998	
16.000000	-564.893810	-1692.906075	-1633.324131	719.227391	
16.050000	-714.585205	-1722.241455	-1697.340498	771.869596	
16.100000	-870.743549	-1729.598329	-1751.484458	825.836928	
16.150000	-1029.275229	-1713.384992	-1794.725649	879.803941	
16.200000	-1185.814758	-1674.011811	-1827.404204	932.237037	
16.250000	-1336.106088	-1613.866266	-1851.159355	981.301423	
16.300000	-1476.568012	-1536.616256	-1868.307233	1025.119656	
16.350000	-1604.534233	-1447.283242	-1882.018253	1061.680615	
16.400000	-1718.969236	-1351.318820	-1895.758733	1089.503085	
16.450000	-1820.229453	-1254.030462	-1912.937275	1107.473559	
16.500000	-1910.057828	-1159.818468	-1936.477639	1115.147349	
16.550000	-1991.225407	-1071.783584	-1968.630472	1112.741324	
16.600000	-2066.779064	-991.471794	-2010.657173	1100.840443	
16.650000	-2139.847892	-918.430300	-2062.586890	1080.831915	
16.700000	-2213.022135	-850.444566	-2123.294173	1054.677914	
16.750000	-2288.131854	-783.697905	-2190.660326	1025.054535	
16.800000	-2365.781224	-713.865891	-2262.143462	994.600859	
16.850000	-2445.382828	-635.887011	-2334.603451	966.372979	
16.900000	-2525.516392	-545.415642	-2405.456074	943.128591	
16.950000	-2603.365346	-439.689086	-2472.427495	926.250333	
17.000000	-2675.564679	-317.040679	-2533.570884	916.613316	
17.050000	-2738.310317	-178.176195	-2587.621316	913.402547	
17.100000	-2788.128775	-25.349389	-2633.832822	915.002819	
17.150000	-2822.417646	138.190839	-2672.018829	919.484993	
17.200000	-2839.313523	307.570109	-2702.411023	923.729097	
17.250000	-2838.048966	477.597973	-2725.398998	924.565055	
17.300000	-2819.387741	642.796111	-2741.933968	918.657342	
17.350000	-2785.364443	798.927287	-2753.150518	903.716323	
17.400000	-2738.620002	942.333328	-2760.038625	877.621506	
