HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	NacYaw    	YawRate   	YawAccel  	
(s)	(deg)     	(deg/s)   	(deg/s^2) 	
27.000000	-0.002391	0.001825	0.002094	
27.050000	-0.002300	0.001806	-0.000386	
27.100000	-0.002213	0.001652	-0.003072	
27.150000	-0.002137	0.001374	-0.005560	
27.200000	-0.002077	0.001000	-0.007487	
27.250000	-0.002038	0.000576	-0.008477	
27.300000	-0.002020	0.000161	-0.008287	
27.350000	-0.002021	-0.000190	-0.007031	
27.400000	-0.002037	-0.000426	-0.004726	
27.450000	-0.002062	-0.000514	-0.001760	
27.500000	-0.002087	-0.000439	0.001506	
27.550000	-0.002104	-0.000207	0.004645	
27.600000	-0.002106	0.000144	0.007021	
27.650000	-0.002089	0.000560	0.008313	
27.700000	-0.002050	0.000989	0.008590	
27.750000	-0.001991	0.001361	0.007435	
27.800000	-0.001916	0.001618	0.005143	
27.850000	-0.001832	0.001728	0.002204	
27.900000	-0.001746	0.001669	-0.001183	
27.950000	-0.001668	0.001443	-0.004525	
28.000000	-0.001604	0.001077	-0.007322	
28.050000	-0.001562	0.000615	-0.009234	
28.100000	-0.001543	0.000119	-0.009916	
28.150000	-0.001549	-0.000358	-0.009548	
28.200000	-0.001578	-0.000764	-0.008126	
28.250000	-0.001624	-0.001056	-0.005842	
28.300000	-0.001681	-0.001216	-0.003201	
28.350000	-0.001744	-0.001242	-0.000511	
28.400000	-0.001804	-0.001147	0.001899	
28.450000	-0.001858	-0.000966	0.003624	
28.500000	-0.001901	-0.000733	0.004662	
28.550000	-0.001932	-0.000488	0.004890	
28.600000	-0.001951	-0.000262	0.004531	
28.650000	-0.001960	-0.000079	0.003650	
28.700000	-0.001961	0.000044	0.002458	
28.750000	-0.001958	0.000109	0.001298	
28.800000	-0.001952	0.000129	0.000410	
28.850000	-0.001946	0.000122	-0.000133	
28.900000	-0.001940	0.000106	-0.000333	
28.950000	-0.001935	0.000094	-0.000227	
29.000000	-0.001930	0.000104	0.000184	
29.050000	-0.001924	0.000131	0.000553	
29.100000	-0.001917	0.000167	0.000721	
29.150000	-0.001907	0.000192	0.000496	
29.200000	-0.001897	0.000192	-0.000005	
29.250000	-0.001889	0.000149	-0.000858	
29.300000	-0.001883	0.000051	-0.001950	
29.350000	-0.001884	-0.000106	-0.003155	
29.400000	-0.001895	-0.000311	-0.004102	
29.450000	-0.001916	-0.000537	-0.004518	
29.500000	-0.001949	-0.000755	-0.004344	
