HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	TwrBsFxt  	TwrBsFyt  	TwrBsFzt  	TwrBsMxt  	TwrBsMyt  	TwrBsMzt  	
(s)	(kN)      	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(kN-m)    	
13.050000	520.078308	83.111740	-5902.621094	-3585.302490	39998.871094	842.334351	
13.100000	517.607300	87.320587	-5904.530273	-3907.968262	39887.882812	825.902161	
13.150000	514.922302	89.034813	-5907.231934	-4085.246094	39779.710938	822.303894	
13.200000	512.147949	88.525108	-5909.978516	-4119.212402	39680.785156	836.080322	
13.250000	509.405334	86.247910	-5911.964355	-4021.316162	39597.042969	869.513245	
13.300000	506.819336	82.711403	-5912.509277	-3808.533203	39533.820312	922.400391	
13.350000	504.524078	78.339951	-5911.199707	-3498.953613	39496.386719	991.761047	
13.400000	502.690674	73.389069	-5908.002930	-3108.900391	39490.808594	1072.584473	
13.450000	501.494751	67.914375	-5903.291504	-2650.898193	39523.238281	1158.088379	
13.500000	501.092926	61.838768	-5897.795410	-2135.046143	39598.925781	1240.932739	
13.550000	501.609528	55.038990	-5892.468262	-1569.296265	39723.257812	1314.152344	
13.600000	503.114044	47.462399	-5888.331543	-962.984131	39899.296875	1372.009399	
13.650000	505.623688	39.186302	-5886.276855	-327.463928	40128.105469	1410.678833	
13.700000	509.093170	30.435106	-5886.924316	323.976379	40408.578125	1428.267456	
13.750000	513.426697	21.536757	-5890.486328	978.045654	40737.800781	1425.540039	
13.800000	518.461548	12.848495	-5896.718750	1623.027466	41110.621094	1404.438721	
13.850000	523.964050	4.666703	-5904.940918	2250.814453	41518.171875	1368.282104	
13.900000	529.675171	-2.870208	-5914.114258	2859.896240	41950.214844	1320.949707	
13.950000	535.364624	-9.835972	-5923.000977	3456.219482	42397.945312	1266.069946	
14.000000	540.833069	-16.493769	-5930.337402	4050.602051	42852.093750	1206.773560	
14.050000	545.924255	-23.219128	-5935.042480	4655.387695	43304.546875	1145.609131	
14.100000	550.535217	-30.376020	-5936.386230	5280.161133	43749.156250	1084.675903	
14.150000	554.633484	-38.179264	-5934.125977	5926.615723	44182.472656	1025.591431	
14.200000	558.295349	-46.610588	-5928.553711	6585.954102	44604.964844	969.905212	
14.250000	561.696289	-55.392815	-5920.465332	7238.730469	45020.656250	919.312134	
14.300000	565.074463	-64.027283	-5911.031738	7857.116699	45436.164062	875.493225	
14.350000	568.649231	-71.879616	-5901.626953	8408.952148	45857.921875	840.322083	
14.400000	572.584778	-78.310814	-5893.616699	8863.503906	46291.085938	814.936462	
14.450000	576.996826	-82.819992	-5888.161133	9197.000000	46739.128906	799.659973	
14.500000	581.972778	-85.164703	-5886.034668	9397.201172	47204.460938	793.896851	
14.550000	587.551697	-85.403709	-5887.534180	9464.695312	47687.191406	795.525635	
14.600000	593.680847	-83.854897	-5892.439453	9411.259766	48183.667969	801.230347	
14.650000	600.202820	-80.989288	-5900.048828	9256.012695	48686.644531	806.600769	
14.700000	606.873230	-77.304276	-5909.305664	9020.209961	49185.007812	806.850769	
14.750000	613.422180	-73.207596	-5918.956055	8722.756836	49666.226562	797.094299	
14.800000	619.597107	-68.918755	-5927.738770	8376.183594	50117.699219	773.213867	
14.850000	625.177917	-64.422157	-5934.571289	7984.755859	50527.675781	732.492737	
14.900000	629.970093	-59.490051	-5938.706055	7545.053223	50885.832031	673.931030	
14.950000	633.825073	-53.773983	-5939.830566	7049.140625	51184.843750	598.365540	
15.000000	636.665527	-46.931667	-5938.092773	6488.682617	51421.230469	508.605499	
15.050000	638.494324	-38.750042	-5934.057617	5859.506836	51594.835938	408.701935	
15.100000	639.409058	-29.229670	-5928.596680	5165.007324	51710.343750	303.144379	
15.150000	639.575317	-18.614405	-5922.716797	4417.562988	51777.117188	197.680481	
15.200000	639.165527	-7.356915	-5917.396973	3637.622314	51804.125000	97.544365	
15.250000	638.342957	3.957659	-5913.424316	2851.423584	51800.820312	7.719730	
15.300000	637.266052	14.734829	-5911.277832	2086.654541	51776.515625	-68.516754	
15.350000	636.082336	24.491001	-5911.085938	1367.720947	51739.082031	-128.387695	
15.400000	634.933960	32.936939	-5912.639160	712.329834	51695.039062	-170.792755	
15.450000	633.937439	40.002411	-5915.455566	130.126740	51649.597656	-196.215363	
15.500000	633.149414	45.821102	-5918.896973	-377.706635	51605.457031	-206.628510	
15.550000	632.556091	50.666431	-5922.277832	-816.633972	51561.960938	-205.569839	
15.600000	632.128113	54.857426	-5925.015625	-1195.355713	51518.335938	-197.854401	
15.650000	631.826172	58.669094	-5926.716309	-1523.060791	51472.867188	-189.197083	
15.700000	631.628174	62.258335	-5927.250488	-1806.295288	51424.488281	-185.432678	
15.750000	631.528870	65.639702	-5926.760742	-2047.733643	51373.230469	-191.778152	
15.800000	631.522644	68.698303	-5925.624023	-2245.842041	51319.531250	-212.009430	
15.850000	631.626526	71.228172	-5924.368652	-2395.076416	51266.242188	-248.031708	
15.900000	631.861450	73.004517	-5923.558594	-2488.535645	51216.421875	-299.837463	
