HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	TTDspFA   	TTDspSS   	TTDspAx   	
(s)	(m)       	(m)       	(m)       	
18.600000	0.307280	-0.003156	-0.000801	
18.650000	0.307730	-0.004902	-0.000809	
18.700000	0.308271	-0.007098	-0.000809	
18.750000	0.308910	-0.009686	-0.000816	
18.800000	0.309649	-0.012610	-0.000816	
18.850000	0.310489	-0.015822	-0.000824	
18.900000	0.311427	-0.019281	-0.000832	
18.950000	0.312456	-0.022955	-0.000839	
19.000000	0.313567	-0.026816	-0.000847	
19.050000	0.314747	-0.030839	-0.000854	
19.100000	0.315983	-0.034997	-0.000862	
19.150000	0.317258	-0.039257	-0.000877	
19.200000	0.318556	-0.043578	-0.000885	
19.250000	0.319860	-0.047913	-0.000893	
19.300000	0.321155	-0.052203	-0.000908	
19.350000	0.322430	-0.056385	-0.000916	
19.400000	0.323673	-0.060392	-0.000931	
19.450000	0.324879	-0.064157	-0.000938	
19.500000	0.326044	-0.067617	-0.000954	
19.550000	0.327165	-0.070716	-0.000961	
19.600000	0.328241	-0.073409	-0.000969	
19.650000	0.329272	-0.075663	-0.000984	
19.700000	0.330254	-0.077454	-0.000992	
19.750000	0.331184	-0.078767	-0.000999	
19.800000	0.332054	-0.079594	-0.000999	
19.850000	0.332859	-0.079931	-0.001007	
19.900000	0.333587	-0.079775	-0.001015	
19.950000	0.334230	-0.079124	-0.001015	
20.000000	0.334778	-0.077975	-0.001015	
20.050000	0.335223	-0.076330	-0.001015	
20.100000	0.335558	-0.074195	-0.001015	
20.150000	0.335778	-0.071581	-0.001015	
20.200000	0.335880	-0.068514	-0.001007	
20.250000	0.335864	-0.065030	-0.001007	
20.300000	0.335730	-0.061181	-0.000999	
20.350000	0.335480	-0.057030	-0.000992	
20.400000	0.335116	-0.052655	-0.000984	
20.450000	0.334641	-0.048140	-0.000984	
20.500000	0.334061	-0.043575	-0.000977	
20.550000	0.333379	-0.039050	-0.000969	
20.600000	0.332602	-0.034645	-0.000961	
20.650000	0.331734	-0.030433	-0.000954	
20.700000	0.330783	-0.026473	-0.000946	
20.750000	0.329755	-0.022809	-0.000938	
20.800000	0.328658	-0.019474	-0.000931	
20.850000	0.327501	-0.016490	-0.000923	
20.900000	0.326292	-0.013868	-0.000916	
20.950000	0.325042	-0.011619	-0.000908	
21.000000	0.323762	-0.009752	-0.000900	
21.050000	0.322464	-0.008277	-0.000893	
21.100000	0.321159	-0.007211	-0.000885	
21.150000	0.319859	-0.006573	-0.000877	
21.200000	0.318574	-0.006383	-0.000870	
21.250000	0.317313	-0.006661	-0.000862	
21.300000	0.316082	-0.007427	-0.000854	
21.350000	0.314888	-0.008688	-0.000847	
21.400000	0.313738	-0.010445	-0.000839	
21.450000	0.312636	-0.012683	-0.000839	
21.500000	0.311590	-0.015377	-0.000832	
21.550000	0.310606	-0.018485	-0.000832	
21.600000	0.309694	-0.021957	-0.000824	
21.650000	0.308864	-0.025733	-0.000824	
21.700000	0.308125	-0.029746	-0.000824	
21.750000	0.307489	-0.033928	-0.000816	
21.800000	0.306964	-0.038211	-0.000824	
21.850000	0.306557	-0.042531	-0.000824	
21.900000	0.306272	-0.046826	-0.000824	
21.950000	0.306110	-0.051041	-0.000824	
22.000000	0.306067	-0.055120	-0.000832	
22.050000	0.306135	-0.059014	-0.000832	
22.100000	0.306305	-0.062673	-0.000839	
22.150000	0.306561	-0.066049	-0.000847	
22.200000	0.306889	-0.069092	-0.000847	
22.250000	0.307273	-0.071756	-0.000854	
22.300000	0.307696	-0.073995	-0.000862	
22.350000	0.308142	-0.075769	-0.000862	
22.400000	0.308598	-0.077046	-0.000870	
22.450000	0.309050	-0.077802	-0.000870	
22.500000	0.309488	-0.078027	-0.000877	
22.550000	0.309901	-0.077721	-0.000877	
22.600000	0.310281	-0.076900	-0.000877	
22.650000	0.310620	-0.075590	-0.000877	
22.700000	0.310910	-0.073825	-0.000877	
22.750000	0.311144	-0.071647	-0.000877	
22.800000	0.311314	-0.069102	-0.000870	
22.850000	0.311413	-0.066232	-0.000870	
22.900000	0.311435	-0.063081	-0.000870	
22.950000	0.311372	-0.059686	-0.000862	
23.000000	0.311221	-0.056082	-0.000854	
23.050000	0.310977	-0.052302	-0.000854	
23.100000	0.310638	-0.048377	-0.000847	
23.150000	0.310205	-0.044342	-0.000839	
23.200000	0.309677	-0.040235	-0.000832	
23.250000	0.309058	-0.036102	-0.000832	
23.300000	0.308352	-0.031996	-0.000824	
23.350000	0.307564	-0.027976	-0.000816	
23.400000	0.306701	-0.024109	-0.000809	
23.450000	0.305767	-0.020465	-0.000801	
23.500000	0.304772	-0.017112	-0.000793	
23.550000	0.303722	-0.014116	-0.000793	
23.600000	0.302625	-0.011535	-0.000786	
23.650000	0.301492	-0.009415	-0.000778	
