HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.ControL @CopyRight 赵子祯
Time	BlPitchC  B_0	BlPitchC  B_2	GenTq     	GenPwr    	
(s)	(deg)     	(deg)     	(kN-m)    	(kW)      	
20.850000	0.406959	0.406959	43.093543	5148.270335	
20.900000	0.427149	0.427149	43.093543	5149.587663	
20.950000	0.446728	0.446728	43.093543	5150.942592	
21.000000	0.465752	0.465752	43.093543	5152.253076	
21.050000	0.484298	0.484298	43.093543	5153.440404	
21.100000	0.502436	0.502436	43.093543	5154.536072	
21.150000	0.520188	0.520188	43.093543	5155.627490	
21.200000	0.537536	0.537536	43.093543	5156.727680	
21.250000	0.554443	0.554443	43.093543	5157.747834	
21.300000	0.570876	0.570876	43.093543	5158.611443	
21.350000	0.586814	0.586814	43.093543	5159.356994	
21.400000	0.602233	0.602233	43.093543	5160.100576	
21.450000	0.617127	0.617127	43.093543	5160.917365	
21.500000	0.631526	0.631526	43.093543	5161.794467	
21.550000	0.645503	0.645503	43.093543	5162.694041	
21.600000	0.659177	0.659177	43.093543	5163.632894	
21.650000	0.672668	0.672668	43.093543	5164.674975	
21.700000	0.686083	0.686083	43.093543	5165.862410	
21.750000	0.699492	0.699492	43.093543	5167.169276	
21.800000	0.712954	0.712954	43.093543	5168.531627	
21.850000	0.726501	0.726501	43.093543	5169.910691	
21.900000	0.740145	0.740145	43.093543	5171.314794	
21.950000	0.753871	0.753871	43.093543	5172.772195	
22.000000	0.767669	0.767669	43.093543	5174.296702	
22.050000	0.781527	0.781527	43.093543	5175.880611	
22.100000	0.795459	0.795459	43.093543	5177.509781	
22.150000	0.809506	0.809506	43.093543	5179.183388	
22.200000	0.823719	0.823719	43.093543	5180.918472	
22.250000	0.838150	0.838150	43.093543	5182.732687	
22.300000	0.852832	0.852832	43.093543	5184.622060	
22.350000	0.867790	0.867790	43.093543	5186.551763	
22.400000	0.883023	0.883023	43.093543	5188.473218	
22.450000	0.898517	0.898517	43.093543	5190.356124	
22.500000	0.914231	0.914231	43.093543	5192.197345	
22.550000	0.930108	0.930108	43.093543	5194.001669	
22.600000	0.946082	0.946082	43.093543	5195.755120	
22.650000	0.962095	0.962095	43.093543	5197.427419	
22.700000	0.978103	0.978103	43.093543	5198.997367	
22.750000	0.994073	0.994073	43.093543	5200.471722	
22.800000	1.009976	1.009976	43.093543	5201.872229	
22.850000	1.025785	1.025785	43.093543	5203.206608	
22.900000	1.041465	1.041465	43.093543	5204.457379	
22.950000	1.056990	1.056990	43.093543	5205.601038	
23.000000	1.072330	1.072330	43.093543	5206.631690	
23.050000	1.087445	1.087445	43.093543	5207.563422	
23.100000	1.102297	1.102297	43.093543	5208.410149	
23.150000	1.116849	1.116849	43.093543	5209.168902	
23.200000	1.131067	1.131067	43.093543	5209.823529	
23.250000	1.144934	1.144934	43.093543	5210.362156	
23.300000	1.158439	1.158439	43.093543	5210.786250	
23.350000	1.171568	1.171568	43.093543	5211.102455	
23.400000	1.184305	1.184305	43.093543	5211.308544	
23.450000	1.196627	1.196627	43.093543	5211.390073	
23.500000	1.208504	1.208504	43.093543	5211.331493	
23.550000	1.219897	1.219897	43.093543	5211.131377	
23.600000	1.230773	1.230773	43.093543	5210.806507	
23.650000	1.241094	1.241094	43.093543	5210.383065	
23.700000	1.250836	1.250836	43.093543	5209.885145	
23.750000	1.259993	1.259993	43.093543	5209.332077	
23.800000	1.268584	1.268584	43.093543	5208.743915	
23.850000	1.276648	1.276648	43.093543	5208.147432	
23.900000	1.284238	1.284238	43.093543	5207.571266	
23.950000	1.291420	1.291420	43.093543	5207.033486	
24.000000	1.298254	1.298254	43.093543	5206.535248	
24.050000	1.304793	1.304793	43.093543	5206.066374	
24.100000	1.311085	1.311085	43.093543	5205.618762	
24.150000	1.317160	1.317160	43.093543	5205.193315	
24.200000	1.323036	1.323036	43.093543	5204.796847	
24.250000	1.328718	1.328718	43.093543	5204.435538	
24.300000	1.334217	1.334217	43.093543	5204.114658	
24.350000	1.339554	1.339554	43.093543	5203.843418	
24.400000	1.344763	1.344763	43.093543	5203.638698	
24.450000	1.349890	1.349890	43.093543	5203.521250	
24.500000	1.354986	1.354986	43.093543	5203.506801	
24.550000	1.360117	1.360117	43.093543	5203.599144	
24.600000	1.365347	1.365347	43.093543	5203.790078	
24.650000	1.370724	1.370724	43.093543	5204.066963	
24.700000	1.376292	1.376292	43.093543	5204.417534	
24.750000	1.382070	1.382070	43.093543	5204.830683	
24.800000	1.388063	1.388063	43.093543	5205.293307	
24.850000	1.394263	1.394263	43.093543	5205.790840	
24.900000	1.400655	1.400655	43.093543	5206.311427	
24.950000	1.407228	1.407228	43.093543	5206.850253	
25.000000	1.413969	1.413969	43.093543	5207.410503	
25.050000	1.420877	1.420877	43.093543	5207.997387	
25.100000	1.427949	1.427949	43.093543	5208.610870	
25.150000	1.435195	1.435195	43.093543	5209.244731	
25.200000	1.442621	1.442621	43.093543	5209.889830	
25.250000	1.450230	1.450230	43.093543	5210.536857	
25.300000	1.458016	1.458016	43.093543	5211.175757	
25.350000	1.465962	1.465962	43.093543	5211.791714	
25.400000	1.474038	1.474038	43.093543	5212.366020	
25.450000	1.482212	1.482212	43.093543	5212.879228	
25.500000	1.490444	1.490444	43.093543	5213.314950	
25.550000	1.498688	1.498688	43.093543	5213.661541	
25.600000	1.506901	1.506901	43.093543	5213.909786	
25.650000	1.515036	1.515036	43.093543	5214.050191	
25.700000	1.523049	1.523049	43.093543	5214.073683	
25.750000	1.530901	1.530901	43.093543	5213.974090	
25.800000	1.538547	1.538547	43.093543	5213.750038	
25.850000	1.545944	1.545944	43.093543	5213.404629	
25.900000	1.553056	1.553056	43.093543	5212.943354	
25.950000	1.559843	1.559843	43.093543	5212.373338	
26.000000	1.566278	1.566278	43.093543	5211.702926	
26.050000	1.572335	1.572335	43.093543	5210.943284	
26.100000	1.578003	1.578003	43.093543	5210.107486	
26.150000	1.583278	1.583278	43.093543	5209.208122	
26.200000	1.588166	1.588166	43.093543	5208.254054	
26.250000	1.592676	1.592676	43.093543	5207.250186	
26.300000	1.596821	1.596821	43.093543	5206.197906	
26.350000	1.600610	1.600610	43.093543	5205.098658	
26.400000	1.604049	1.604049	43.093543	5203.955202	
26.450000	1.607144	1.607144	43.093543	5202.771104	
26.500000	1.609892	1.609892	43.093543	5201.550980	
26.550000	1.612294	1.612294	43.093543	5200.304071	
26.600000	1.614352	1.614352	43.093543	5199.044397	
26.650000	1.616075	1.616075	43.093543	5197.789144	
26.700000	1.617487	1.617487	43.093543	5196.557434	
26.750000	1.618620	1.618620	43.093543	5195.367928	
26.800000	1.619515	1.619515	43.093543	5194.235466	
