HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.HydroL @CopyRight 赵子祯
Time	HydroFxi  	HydroFyi  	HydroFzi  	HydroMxi  	HydroMyi  	HydroMzi  	MoorFxi   	MoorFyi   	MoorFzi   	MoorMxi   	MoorMyi   	MoorMzi   	
(s)	(KN)      	(KN)      	(KN)      	(KN-m)    	(KN-m)    	(KN-m)    	(KN)      	(KN)      	(KN)      	(KN-m)    	(KN-m)    	(KN-m)    	
6.350000	-34.033480	-2.288731	79122.404918	10306.926784	78870.439005	-307.594445	-16.693549	-2.274188	-1602.087761	-405.521798	-746.263365	-307.594445	
6.400000	-34.300804	-2.536031	79122.892377	10342.781995	80360.420607	-308.387797	-16.705660	-2.522458	-1601.988458	-423.259331	-780.826333	-308.387797	
6.450000	-34.631833	-2.725063	79123.382868	10373.831429	81863.828203	-308.835684	-16.760311	-2.712958	-1601.892785	-436.949607	-812.809661	-308.835684	
6.500000	-35.056449	-2.851898	79123.876917	10400.683648	83382.736822	-308.920706	-16.865077	-2.841638	-1601.801495	-446.333291	-841.742870	-308.920706	
6.550000	-35.588986	-2.912290	79124.375091	10424.374668	84919.621082	-308.621964	-17.026512	-2.904056	-1601.714919	-451.134401	-867.236967	-308.621964	
6.600000	-36.185001	-2.907482	79124.864285	10446.033143	86474.689195	-307.905359	-17.232892	-2.901266	-1601.646301	-451.455641	-890.122207	-307.905359	
6.650000	-36.807808	-2.844383	79125.338627	10466.570926	88046.964853	-306.730534	-17.476189	-2.840045	-1601.601119	-447.781451	-910.937789	-306.730534	
6.700000	-37.474981	-2.732682	79125.804397	10486.354745	89636.753426	-305.040172	-17.765516	-2.730029	-1601.572188	-440.773175	-929.061928	-305.040172	
6.750000	-38.220425	-2.571699	79126.248038	10506.281538	91245.441768	-302.790146	-18.113536	-2.570407	-1601.572202	-430.398686	-943.680157	-302.790146	
6.800000	-39.077048	-2.356278	79126.679845	10528.217914	92875.228107	-299.979938	-18.533182	-2.355898	-1601.590259	-416.342035	-953.948503	-299.979938	
6.850000	-40.034086	-2.090044	79127.087926	10553.671685	94527.086843	-296.615349	-19.021568	-2.090437	-1601.638033	-398.909498	-960.107595	-296.615349	
6.900000	-41.055726	-1.783695	79127.471984	10583.074318	96200.325118	-292.707981	-19.562708	-1.785390	-1601.715681	-378.884810	-963.235031	-292.707981	
6.950000	-42.106855	-1.454010	79127.840039	10615.666810	97893.243360	-288.284737	-20.136099	-1.457784	-1601.815221	-357.407643	-964.679594	-288.284737	
7.000000	-43.195749	-1.107892	79128.185114	10650.957945	99605.488310	-283.363481	-20.734640	-1.114737	-1601.943784	-334.951945	-964.923454	-283.363481	
7.050000	-44.342229	-0.749227	79128.522656	10689.158389	101338.026775	-277.942966	-21.359069	-0.760592	-1602.086388	-311.814213	-963.913846	-277.942966	
7.100000	-45.526778	-0.391372	79128.849966	10730.334442	103091.070168	-272.034664	-22.004143	-0.408895	-1602.246316	-288.916090	-962.023426	-272.034664	
7.150000	-46.698122	-0.051433	79129.177738	10773.633868	104862.965809	-265.630562	-22.655938	-0.076311	-1602.413133	-267.367226	-960.155768	-265.630562	
7.200000	-47.853091	0.256411	79129.511181	10817.746499	106652.476385	-258.722340	-23.312639	0.223337	-1602.581821	-248.072569	-958.399000	-258.722340	
7.250000	-49.010096	0.526401	79129.851148	10862.208365	108459.117191	-251.328831	-23.972371	0.483845	-1602.751635	-231.440330	-956.861614	-251.328831	
7.300000	-50.186123	0.753019	79130.200513	10907.124772	110283.029720	-243.450574	-24.629611	0.698853	-1602.919729	-217.901924	-955.910857	-243.450574	
7.350000	-51.364733	0.926069	79130.568998	10952.585598	112123.809539	-235.080449	-25.270412	0.858033	-1603.076229	-208.157421	-956.468673	-235.080449	
7.400000	-52.489469	1.035612	79130.960750	10998.147045	113979.454515	-226.204491	-25.873153	0.952098	-1603.216496	-202.825066	-959.958021	-226.204491	
7.450000	-53.534082	1.080750	79131.373712	11043.362897	115847.829131	-216.824863	-26.425056	0.980984	-1603.341799	-201.897644	-967.202722	-216.824863	
7.500000	-54.543360	1.051499	79131.811701	11087.055985	117729.369701	-206.951180	-26.935341	0.935681	-1603.447692	-205.955945	-977.565109	-206.951180	
7.550000	-55.563624	0.947119	79132.285202	11128.268374	119625.977559	-196.625198	-27.414458	0.817038	-1603.523612	-214.916929	-990.348586	-196.625198	
7.600000	-56.597690	0.762214	79132.795840	11165.502640	121539.039944	-185.898345	-27.866075	0.620743	-1603.568585	-229.038061	-1005.332058	-185.898345	
7.650000	-57.594467	0.508986	79133.363691	11198.200944	123467.785722	-174.846786	-28.277310	0.359337	-1603.563589	-247.452786	-1023.346488	-174.846786	
7.700000	-58.522536	0.188432	79133.982846	11225.260797	125410.588525	-163.536484	-28.638780	0.034134	-1603.515652	-270.048157	-1045.006492	-163.536484	
7.750000	-59.398622	-0.196567	79134.651776	11245.437917	127367.039210	-152.033513	-28.949260	-0.351158	-1603.427646	-296.544555	-1070.380121	-152.033513	
7.800000	-60.231284	-0.637984	79135.376664	11257.647118	129337.166695	-140.413714	-29.207770	-0.788592	-1603.294969	-326.376995	-1099.518310	-140.413714	
7.850000	-61.015387	-1.116595	79136.150325	11262.046052	131320.863931	-128.797219	-29.417123	-1.259953	-1603.126485	-358.315970	-1132.242107	-128.797219	
7.900000	-61.766298	-1.625241	79136.974211	11258.494177	133318.897142	-117.265133	-29.592438	-1.759198	-1602.921897	-391.948101	-1167.537748	-117.265133	
7.950000	-62.502309	-2.159773	79137.847059	11246.740216	135331.995315	-105.872778	-29.746639	-2.282753	-1602.683361	-427.025298	-1204.541653	-105.872778	
8.000000	-63.238728	-2.717711	79138.758031	11226.429431	137360.774515	-94.658769	-29.887427	-2.829060	-1602.421813	-463.435194	-1242.760335	-94.658769	
8.050000	-63.981431	-3.283991	79139.695657	11197.838798	139405.650265	-83.643129	-30.016447	-3.384326	-1602.148346	-500.248899	-1282.110576	-83.643129	
8.100000	-64.718212	-3.840977	79140.642959	11161.807789	141466.536695	-72.847051	-30.133146	-3.931563	-1601.878778	-536.335670	-1322.661861	-72.847051	
8.150000	-65.449578	-4.382249	79141.593750	11118.644295	143543.598966	-62.272625	-30.241902	-4.464445	-1601.617711	-571.273667	-1364.131039	-62.272625	
8.200000	-66.146703	-4.898531	79142.535132	11068.457201	145635.776220	-51.916710	-30.339375	-4.973701	-1601.376071	-604.437606	-1406.751474	-51.916710	
8.250000	-66.800008	-5.377153	79143.458056	11011.553951	147742.043903	-41.782609	-30.430008	-5.447001	-1601.160897	-634.999055	-1450.218523	-41.782609	
8.300000	-67.438408	-5.807862	79144.350480	10948.586987	149862.466095	-31.888309	-30.530865	-5.874276	-1600.982375	-662.292695	-1493.395901	-31.888309	
8.350000	-68.113828	-6.189780	79145.222818	10879.422361	151998.522926	-22.194917	-30.663984	-6.255165	-1600.828949	-686.288093	-1534.787807	-22.194917	
