HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	PtfmFxt   	PtfmFyt   	PtfmFzt   	PtfmFxi   	PtfmFyi   	PtfmFzi   	PtfmMxt   	PtfmMyt   	PtfmMzt   	PtfmMxi   	PtfmMyi   	PtfmMzi   	
(s)	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	
4.500000	-649.898865	31.466068	79107.906250	-109.183899	-60.966930	79110.484375	2796.376953	35214.992188	-71.337936	2660.958740	35225.519531	-49.482109	
4.550000	-702.682007	68.717804	79107.648438	-147.450165	-25.418222	79110.664062	3353.406006	36439.332031	-79.476807	3180.303467	36454.886719	-59.966839	
4.600000	-750.900513	107.683678	79107.539062	-181.073547	11.747251	79110.968750	4052.124023	37592.187500	-86.453300	3839.192139	37614.562500	-70.539856	
4.650000	-773.894104	136.075317	79107.687500	-189.294662	38.361988	79111.351562	4696.315918	38459.722656	-93.308121	4443.216309	38489.812500	-81.124779	
4.700000	-787.764587	142.022064	79107.945312	-188.093918	42.495907	79111.757812	5029.225098	39251.843750	-102.206833	4735.040039	39288.441406	-91.662163	
4.750000	-813.152100	131.555756	79108.226562	-198.094604	30.042938	79112.257812	5057.512695	40207.132812	-113.537155	4719.673340	40248.218750	-102.120758	
4.800000	-857.716064	123.576233	79108.445312	-227.064697	19.813375	79112.859375	4963.479492	41418.863281	-126.154373	4578.153320	41463.261719	-112.506805	
4.850000	-906.118225	127.307541	79108.578125	-259.732941	21.136564	79113.437500	4950.892578	42706.128906	-138.268173	4515.365234	42754.421875	-122.840981	
4.900000	-934.753906	137.069809	79108.617188	-272.440521	28.576002	79113.789062	5069.023926	43787.808594	-149.058899	4583.475098	43841.343750	-133.127655	
4.950000	-946.527100	149.833176	79108.578125	-268.068390	39.110016	79113.914062	5272.785156	44701.648438	-158.879272	4737.504395	44761.593750	-143.368042	
5.000000	-958.651611	174.276382	79108.343750	-263.953339	61.225658	79113.882812	5710.872559	45632.058594	-166.606522	5124.292480	45701.691406	-153.546448	
5.050000	-982.786438	212.153107	79107.859375	-271.804840	96.489571	79113.726562	6405.029297	46708.324219	-172.058990	5763.896484	46791.796875	-163.624496	
5.100000	-1015.869873	247.258499	79107.210938	-288.344635	128.679718	79113.492188	7004.114746	47922.613281	-178.301315	6305.064453	48019.605469	-173.573868	
5.150000	-1049.408203	264.621155	79106.554688	-304.822388	142.912033	79113.234375	7344.041504	49183.875000	-186.826599	6584.836426	49291.277344	-183.384277	
5.200000	-1075.546509	265.771606	79105.984375	-313.349823	140.840347	79113.000000	7591.194336	50384.484375	-196.030502	6771.276367	50501.222656	-193.039520	
5.250000	-1093.444092	260.537872	79105.656250	-313.209137	132.335190	79112.914062	7919.860352	51502.960938	-204.185059	7039.278320	51630.695312	-202.513550	
5.300000	-1112.341431	251.550659	79105.531250	-313.671448	119.900162	79113.046875	8329.477539	52644.535156	-211.359222	7386.750488	52785.062500	-211.773712	
5.350000	-1138.683350	235.500092	79105.554688	-321.107025	100.130753	79113.382812	8852.274414	53866.195312	-217.196625	7845.004395	54022.070312	-220.772842	
5.400000	-1168.793213	215.828461	79105.726562	-331.879028	76.564690	79113.921875	9623.471680	55108.613281	-219.971985	8550.589844	55285.203125	-229.416214	
5.450000	-1191.793579	197.406708	79106.109375	-335.195190	54.328415	79114.601562	10347.416992	56300.429688	-222.488190	9209.714844	56497.625000	-237.635666	
5.500000	-1208.174561	187.344406	79106.656250	-331.699402	40.573746	79115.398438	11184.715820	57434.765625	-222.883118	9983.606445	57655.593750	-245.366791	
5.550000	-1225.791626	189.316406	79107.296875	-329.346710	38.849773	79116.328125	12254.116211	58587.265625	-219.739365	10989.967773	58837.371094	-252.523849	
5.600000	-1253.971802	198.161636	79107.843750	-337.370270	43.806126	79117.304688	13228.091797	59914.214844	-216.899628	11898.268555	60192.250000	-259.059448	
5.650000	-1285.297241	203.841064	79108.328125	-348.128021	45.565983	79118.250000	13886.345703	61356.707031	-216.933594	12489.593750	61656.003906	-264.967407	
5.700000	-1304.020020	199.802124	79108.820312	-345.716064	37.950443	79119.054688	14279.561523	62720.488281	-219.104034	12819.125977	63034.996094	-270.259003	
5.750000	-1309.952148	185.534698	79109.296875	-329.934326	20.489868	79119.664062	14339.267578	64019.382812	-224.505249	12818.300781	64340.984375	-274.969940	
5.800000	-1305.647949	161.198822	79109.734375	-303.355316	-6.685110	79120.101562	13908.328125	65298.960938	-235.561157	12328.859375	65615.335938	-279.192963	
5.850000	-1298.843384	127.572556	79110.054688	-273.758514	-42.958923	79120.328125	13118.180664	66611.156250	-251.189392	11480.596680	66912.718750	-283.048615	
5.900000	-1298.557861	90.876823	79110.125000	-250.341949	-82.313469	79120.390625	12478.833008	67969.664062	-265.048553	10782.637695	68259.203125	-286.621979	
5.950000	-1313.326294	58.018486	79109.914062	-241.831818	-118.038567	79120.382812	12092.553711	69457.726562	-275.847198	10334.836914	69740.867188	-289.969330	
6.000000	-1336.496094	36.336990	79109.546875	-241.776917	-142.616165	79120.351562	12128.066406	70982.562500	-280.857788	10307.996094	71269.578125	-293.122131	
6.050000	-1356.679932	31.017105	79109.195312	-238.941925	-150.553375	79120.328125	12679.418945	72412.531250	-278.055908	10799.672852	72716.562500	-296.061066	
6.100000	-1365.380737	39.295441	79109.093750	-224.784073	-144.374695	79120.429688	13472.326172	73687.492188	-270.729797	11537.612305	74014.984375	-298.748352	
6.150000	-1373.719849	52.879303	79109.109375	-210.231918	-132.651001	79120.664062	14233.118164	74960.875000	-262.967102	12244.616211	75311.101562	-301.150513	
6.200000	-1395.361084	66.563721	79109.140625	-208.818604	-120.951508	79121.109375	14768.917969	76408.179688	-258.046783	12723.457031	76775.125000	-303.242218	
6.250000	-1425.559448	83.109787	79109.281250	-215.869415	-106.406502	79121.796875	15216.612305	77957.218750	-253.912430	13112.960938	78338.335938	-305.018463	
6.300000	-1453.829346	106.076721	79109.570312	-220.993011	-85.191505	79122.648438	15781.279297	79469.265625	-247.120239	13622.076172	79867.507812	-306.468567	
6.350000	-1470.724487	129.579803	79110.109375	-214.588379	-62.947880	79123.570312	16301.880859	80851.468750	-239.902359	14092.565430	81265.453125	-307.594452	
6.400000	-1482.839478	147.501480	79110.726562	-203.091629	-45.980377	79124.492188	16830.277344	82154.054688	-231.569107	14575.188477	82583.710938	-308.387787	
6.450000	-1513.196655	159.525085	79111.023438	-209.510513	-35.240471	79125.367188	17348.341797	83642.671875	-223.024765	15044.855469	84087.265625	-308.835693	
6.500000	-1564.213257	174.049042	79110.875000	-236.471237	-22.403751	79126.171875	17944.617188	85350.414062	-212.848450	15589.472656	85811.539062	-308.920746	
6.550000	-1621.408936	199.405075	79110.421875	-269.691956	1.250094	79126.828125	18729.470703	87129.179688	-198.697357	16323.833984	87611.437500	-308.621979	
6.600000	-1660.240112	234.192398	79110.023438	-284.567566	34.983501	79127.273438	19720.476562	88711.531250	-179.405396	17273.365234	89219.960938	-307.905365	
6.650000	-1675.011230	267.930725	79109.875000	-275.106628	68.457855	79127.554688	20709.296875	90049.304688	-158.311768	18231.595703	90583.070312	-306.730560	
6.700000	-1689.608521	296.342407	79109.664062	-265.077942	96.726303	79127.757812	21745.201172	91400.093750	-135.097626	19241.228516	91959.398438	-305.040192	
6.750000	-1721.771729	324.572174	79109.132812	-272.353333	124.442276	79127.960938	22721.033203	92980.039062	-112.163925	20189.849609	93561.867188	-302.790161	
6.800000	-1769.931763	356.585114	79108.375000	-295.447083	155.604385	79128.273438	23341.228516	94814.125000	-95.159805	20781.820312	95407.367188	-299.979950	
6.850000	-1816.650757	386.733185	79107.718750	-316.743195	185.017502	79128.664062	23756.097656	96677.703125	-81.050598	21173.839844	97275.476562	-296.615356	
6.900000	-1849.624023	398.395874	79107.312500	-323.487762	196.369919	79129.039062	23717.687500	98442.421875	-74.553223	21121.544922	99031.507812	-292.707977	
6.950000	-1871.807251	391.576355	79107.179688	-318.654388	189.566681	79129.429688	23334.259766	100122.765625	-74.060730	20732.644531	100693.273438	-288.284760	
7.000000	-1900.123901	388.888489	79106.945312	-319.766968	186.772354	79129.843750	23258.326172	101860.390625	-67.213684	20655.845703	102419.476562	-283.363495	
7.050000	-1942.216064	401.833008	79106.421875	-334.742065	199.298203	79130.328125	23508.058594	103760.437500	-53.585144	20906.937500	104315.304688	-277.942993	
7.100000	-1982.334961	416.241760	79105.929688	-347.448761	213.372131	79130.804688	23624.148438	105684.906250	-42.045303	21030.376953	106231.125000	-272.034668	
7.150000	-2001.811401	417.196838	79105.781250	-338.859589	214.515442	79131.195312	23610.248047	107399.882812	-32.083725	21035.539062	107933.382812	-265.630585	
7.200000	-2012.154175	407.359802	79105.828125	-320.584198	205.089539	79131.554688	23448.921875	109039.695312	-24.530746	20901.564453	109556.218750	-258.722351	
7.250000	-2035.122070	403.641846	79105.585938	-314.800385	201.494171	79131.906250	23251.724609	110856.171875	-17.749619	20734.117188	111354.242188	-251.328842	
7.300000	-2074.714600	415.552490	79104.914062	-325.704712	213.166260	79132.250000	23370.652344	112862.679688	-4.020538	20885.267578	113348.656250	-243.450592	
7.350000	-2116.292480	429.991913	79104.125000	-338.337006	227.341171	79132.546875	23600.654297	114901.546875	12.760727	21153.804688	115376.851562	-235.080460	
7.400000	-2140.663330	434.409882	79103.664062	-333.238007	231.863541	79132.773438	23887.505859	116744.750000	32.046875	21490.408203	117209.476562	-226.204498	
7.450000	-2151.787109	426.370178	79103.492188	-314.357147	224.186874	79132.953125	23898.630859	118462.914062	45.991470	21560.804688	118910.445312	-216.824875	
